n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,simple_rule_r2,LGBMRegressor_1pct_r2,XGBRegressor_1pct_r2,RandomForestRegressor_1pct_r2,DecisionTreeRegressor_1pct_r2,HistGradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_1pct_r2,MLPRegressor_1pct_r2,BayesianRidge_1pct_r2,LinearRegression_1pct_r2,SVR_1pct_r2,TabPFNRegressor_1pct_r2,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,TabPFNRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,GradientBoostingRegressor_rank,HistGradientBoostingRegressor_rank,MLPRegressor_rank,LinearRegression_rank,LGBMRegressor_rank,DecisionTreeRegressor_rank
13,1142,2.63905733,7.041411664,87.84615385,0.2083915385,0.2665122051,1.940785124,3.176522638,33.67297035,1133.540503,0.2959639524,1,-14.38048962,-5.150914791,-108.3200748,,,,,,,,,,,,103.16916,0,0,0,9,4,2,6,8,7,3,11,10,5,1
80,112,4.394449155,4.727387819,1.4,0.3764755375,0.1955234865,0.6490214897,0.7503676615,3.009014609,14.40553294,0.7083754833,1,-0.005340431112,0.5056416731,-0.5849507986,,,,,,,,,,,,1.090592472,0,0,0,1,2,3,4,8,5,6,11,10,7,9
13,1142,2.63905733,7.041411664,87.84615385,0.1970014615,0.2605159109,2.244052101,4.126500469,33.04943754,1104.711808,0.4493620657,1,-0.2036685481,-1.390808532,-38.26945676,,,,,,,,,,,,36.87864822,0,0,0,9,4,2,6,8,1,3,11,10,5,7
20,9,3.044522438,2.302585093,0.45,0.16808285,0.2544798541,2.199227285,3.932809995,1.378660971,0.9002357026,0.4334810256,0.923174665,-0.1930399632,-2.585051931,-5.799261935,,,,,,,,,,,,3.214210003,1,0,0,1,2,4,3,9,8,5,7,10,6,11
16,33,2.833213344,3.526360525,2.0625,0.1875,0.3903123749,1.601281538,0.5641025641,4.643921889,22.03084869,0.4654800623,0.9831056527,-0.3980716253,0.1666666667,-0.2053951843,,,,,,,,,,,,0.372061851,1,0,0,5,7,6,8,2,4,10,3,11,9,1
22,39,3.135494216,3.688879454,1.772727273,0.2429395,0.2740173591,1.459024862,1.271609174,4.04398406,15.33505115,0.4263433961,0.9966950026,-0.01494812294,-0.2800672245,0.2545786466,,,,,,,,,,,,-0.5346458711,1,0,0,3,2,5,1,11,6,8,10,4,7,9
19,9,2.995732274,2.302585093,0.4736842105,0.3413456842,0.2556507518,1.110793181,0.4866654371,1.369088749,1.031816905,0.447794151,0.9368510203,-0.2314540215,0.4634580741,0.6097441707,,,,,,,,,,,,-0.1462860966,1,0,0,7,4,6,8,2,3,11,9,5,10,1
274,1142,5.616771098,7.041411664,4.167883212,0.3670037117,0.1800163919,0.5236004523,0.1309510165,22.09523675,517.7561596,0.1936315697,0.9999969104,-0.02316093437,-0.2931221413,-145363022612,-0.03289020402,-0.9146408052,-0.0008905848813,-0.9482590659,-0.03289019741,0.1010205792,-134753847.7,-57.0947884,-57.18489899,-0.07908036196,-1,145363022612,0,0,0,8,4,1,6,7,2,5,10,11,3,9
13,21,2.63905733,3.091042453,1.615384615,0.6034868462,0.3660939944,-0.4892583876,-1.268997532,3.9711653,14.44325391,0.421241579,0.9986332011,-0.1233595856,-0.5303637389,-1.537516905,,,,,,,,,,,,1.007153166,1,0,0,3,6,7,1,9,11,5,8,2,4,10
16,23,2.833213344,3.17805383,1.4375,0.2719245,0.244055913,1.471079566,2.332529965,1.51073187,2.203260509,0.371326795,1,-0.07751517,-1.331788712,0.6936220583,,,,,,,,,,,,-2.02541077,1,0,0,3,1,5,4,7,6,9,11,2,8,10
